Dealership_Name,Location,Total_Cars_Sold,Total_Revenue
Gallet et Fils,Barbedan,4011,29855951.33
Philippe,Wagner-sur-Hoareau,4756,36383449.05
Bertrand Brunel S.A.S.,Fernandez-sur-Laroche,496,9612601.7
Lévy,Bernier,1358,25680046.73
Dos Santos Meyer S.A.,Girard,3236,29391249.1
Henry,Dupuy-sur-Lelièvre,502,31846199.29
Faure,Sainte Émilie-sur-Mer,2048,18090780.32
Delahaye Leconte et Fils,Robin-sur-Mer,2985,13353066.3
Leleu SA,Germainboeuf,432,49528280.11
Coulon,DelannoyBourg,2932,35924406.73
Chevalier S.A.R.L.,Jean,128,4985303.65
Thierry,Fournier,858,17547824.25
Le Roux et Fils,Josephboeuf,307,38419188.15
Pasquier SA,Berger,1248,33380246.49
Gaillard SA,Guillaume,3318,47310488.32
Michaud Brunel S.A.S.,Sainte Émile-la-Forêt,1903,27919873.55
Duval,Bouvet,1572,16434670.25
Durand,Dubois,1484,21906483.17
Marques S.A.R.L.,Sainte Michèle,2943,24067656.39
Garcia SARL,Da Silva,2404,5373863.84
Guilbert,Gay-sur-Rémy,915,39382573.04
Ollivier SARL,SchmittBourg,2745,32369457.27
Gaillard Verdier S.A.S.,TexierVille,3522,47827505.78
Charpentier,Sauvage,154,23716214.81
Léger S.A.,Picard,3888,15107818.58
Boulanger,Sainte Henriette-la-Forêt,4867,36590811.79
Peron,Sainte Pauline,4639,4435537.81
Noël S.A.R.L.,Carpentier-les-Bains,1268,40149166.82
Tessier Colin SA,Chauvetnec,1489,27746284.36
Simon et Fils,Colas,410,10888828.61
Chrétien S.A.R.L.,Saint GabrielBourg,4247,45035709.25
Hoareau S.A.,Saint AdélaïdeBourg,2851,12345295.18
Launay S.A.,Pichonnec,4440,44236309.16
Dos Santos,Poulain-sur-Mer,1876,29753132.27
Pichon,Lemoine-sur-Martin,3891,42913127.98
Merle S.A.R.L.,Renault-les-Bains,4347,46966972.63
Leroux Morin SA,BernierBourg,1090,19464430.85
Duval S.A.,Texier,3312,14079747.66
Masson Pierre S.A.,Masseboeuf,3795,5023649.56
Lévêque,Bonnet,243,47416677.35
Ribeiro,Gimenez,4859,21785663.9
Peron,Payetnec,3489,33719075.91
Paul Pierre SA,Guillou-sur-Denis,4278,6656783.49
Le Gall,AndreVille,1663,18525546.1
Legros,Legros,3934,15769053.09
Bazin S.A.R.L.,Muller-sur-Gauthier,4186,16500863.25
Royer,Voisinnec,2988,15347092.66
Guillot,Bailly,767,21980053.5
Fleury S.A.S.,Lebrun,1824,12024951.37
Chevalier S.A.R.L.,Sainte Denis-les-Bains,701,31626384.06
Lopes,Maillet,1689,49706185.06
Joubert Perret SARL,Boucher,4815,20717728.43
Marchand,Saint Céciledan,2869,18678545.95
Noël,Sainte Agnès,552,26969770.81
Dupuy Joubert et Fils,Antoine,4677,33905024.52
Deschamps Hoarau SA,Rousseau,4499,5546563.03
Lamy et Fils,Charpentier-sur-Laurent,1249,19564350.07
Chartier,Marchal-sur-Mer,3597,30994396.58
Rivière Lemonnier SA,Barre,4716,38809851.72
Guibert,ImbertBourg,1157,48935659.89
Dufour,Saint Josettedan,3030,7487900.94
De Sousa,Dupuynec,2348,27744732.32
Launay,Hebert,4592,48589435.46
Leclerc S.A.R.L.,Saint Noël,2261,4144067.01
Breton,Sainte Margaux,3390,31415067.01
Delmas,Charpentier-sur-Techer,4779,5031233.25
Fernandes,Sainte Agnès,1587,33923715.53
Laine S.A.S.,Goncalves-sur-Michel,4107,42691980.73
Chartier Guillot S.A.S.,Faureboeuf,4676,8696633.5
Antoine et Fils,Pages,3398,12019609.05
Adam Guilbert S.A.S.,Sainte Michèle,3108,1898405.51
Louis,Baron,4633,5333103.16
Guichard Lecoq SARL,Duhameldan,2098,30583090.81
De Oliveira,Blanc-sur-Fontaine,3224,15266364.63
Michel SA,Sainte Luc,4781,48865036.28
Muller S.A.S.,Alexandre,4984,11153021.72
Weber,Lefebvre,3973,35411385.09
Costa,GuyonBourg,3066,20525324.24
Antoine S.A.,Sainte Margaret,4290,5500099.33
Clerc,Hebert,592,25976292.35
Lecoq,Masson-la-Forêt,4149,30416447.15
Launay,Jourdan,1039,17806802.91
Gonzalez Perez SA,Riou-sur-Meyer,3112,33127921.69
Adam,Lenoirboeuf,1171,40960829.96
Raynaud SA,Pinto,2818,34147259.54
Lemoine,Regnier,4012,27747771.83
Paris et Fils,BaillyVille,3331,10556457.66
Boulay,Camus,1687,12186449.96
Chevalier S.A.R.L.,RivièreVille,3330,8201352.27
Boulanger SARL,Sainte Alix-la-Forêt,1244,3666545.06
Valette,Lenoir,2154,21733106.94
Perret,Collet,2255,10897658.36
Maillet,JacobVille,2840,2111514.82
Collin Guillet SARL,Schneider,726,19392646.09
Peltier,Martel-sur-Maréchal,4960,5655726.25
Renaud De Oliveira et Fils,CohenBourg,1770,9984271.36
Pinto,Sainte Anaïs,908,12223914.52
Guichard S.A.S.,Chauvin-sur-Mer,880,7681201.91
Bailly,Sainte Capucine-sur-Mer,1856,49813961.18
Launay Lopez SA,Leclercq,3503,30714344.46
Lenoir,PascalVille,1175,28258047.52
Bernier,Sainte Alex,4292,4680040.93
Roussel S.A.R.L.,Navarrodan,2189,5953974.9
Lemoine,Guyon,1010,29618926.31
Navarro Marin SA,Marchal,2774,36160383.77
Techer Étienne SARL,Valentin,866,11657655.75
Paul SA,Vallet-sur-Mer,3447,38572340.6
Garcia et Fils,TurpinVille,3832,18671323.57
Da Costa S.A.,Saint Michelle-la-Forêt,4792,6860103.69
Da Silva S.A.,Blin,3413,1597712.1
Hoarau,Sainte Stéphanenec,4901,10345973.16
Lambert,Boucher,2952,25141332.92
Hamon S.A.R.L.,Gilletdan,3678,48044744.57
Collin Pages SA,Lelièvrenec,2366,45743679.2
Coste,Duval-sur-Mer,3999,13918537.45
Maury,Guillounec,4576,19603013.95
Royer,LedouxBourg,2654,49492174.54
Germain S.A.,Étienneboeuf,3386,21451185.5
Lacroix,Saint Audrey,2481,42405484.33
Le Gall Masse S.A.S.,Saint Françoise-la-Forêt,1597,41020616.58
Delattre SA,Blot,3604,24069726.58
Antoine,Dias-sur-Mathieu,3185,10320618.74
Bernier,Bourdon,4125,23762184.33
Rodriguez Briand S.A.S.,CollinVille,3236,15653734.01
Coulon Perrin et Fils,Lebrunnec,2217,23289697.69
Courtois,Delannoy-la-Forêt,1656,12647715.8
Pruvost,Sainte Luce,2302,31163803.57
Pons S.A.S.,Boulay,2972,34686911.32
Vidal Rocher SARL,Lemonnier,2772,18106229.28
Lacombe Thierry S.A.S.,Moreno,351,3683804.93
Normand,Couturierboeuf,3052,44595790.51
Roche,Lefortdan,1838,41866361.09
Delmas Legros S.A.,Delmas,4523,49663111.42
Morvan,Meyer,3843,44953183.9
Laurent SA,Maurice,834,38955113.24
Maréchal,Saint Honoré-la-Forêt,4338,1839392.46
Lamy,Chartierdan,1575,39066220.65
Verdier SARL,Bousquet-les-Bains,1479,23139830.1
De Oliveira S.A.,Sainte Margaud,2383,27132699.5
Hubert SARL,Schneider,1519,2348116.53
Laurent Jean S.A.,Lebretondan,4658,34877105.07
Léger,GarciaVille,774,32350595.13
Paris SARL,Tanguyboeuf,2831,5488679.09
Mercier Faivre S.A.S.,Martin,1254,20023892.52
Chrétien,Moulin,4212,49304344.72
Vincent,Andre,471,48286800.14
Chrétien,Pruvost,3808,28041472.68
Rocher S.A.,Ruiz,4910,11664851.99
Becker,Saint Yves-la-Forêt,2240,9271483.26
Dupont,Aubert,1261,35084410.29
Bodin Chauvin S.A.R.L.,Le Roux-la-Forêt,3850,49206036.38
Joly Teixeira S.A.S.,Sainte Patricia,4949,32411411.94
Dos Santos SA,Guillet-sur-Munoz,3581,43570819.72
Meunier Hebert et Fils,Launayboeuf,2132,1335070.97
Merle Dupont SA,Sainte Renée,1377,8304570.4
Gilles,Fleury,455,10423143.56
Merle,Teixeira,3780,24797039.39
Perret et Fils,Legrand,4324,44490717.05
Rivière,Laine,4580,23518920.88
Gimenez,Boyer,205,16775649.81
Bailly,Bonnin,1624,24454192.08
Royer,Vidal,4683,13528970.71
Morin SARL,MilletBourg,4689,36488087.1
Costa,Sainte Nathalie-la-Forêt,182,8578150.21
Le Roux,MartinezBourg,4351,23081701.14
Techer,Saint Henri,4260,5233898.77
Lucas Gomez S.A.,Lebrunboeuf,3420,32585832.17
Guilbert,Sanchez-sur-Pichon,507,24210630.15
Vallet SA,Saint Louis,2450,15107041.42
Chauvet S.A.S.,Pelletier-sur-Chevallier,3852,7935124.22
Simon SARL,Bourdon-sur-Mer,241,33328946.75
Letellier Gros S.A.R.L.,Sainte Xavier,283,2674741.58
Clerc et Fils,Saint Bernadette-la-Forêt,3470,31475643.79
Marin,Voisin,2171,4034155.07
Renaud,Georgesdan,2907,18183143.29
Pascal S.A.S.,Courtois-la-Forêt,4081,36285331.18
Neveu S.A.R.L.,Legrand,4387,42637713.08
Dias,Roussel-la-Forêt,1109,13169708.41
Lefort SARL,Mary,676,4029959.91
Diallo,Sainte Christineboeuf,4895,38774474.67
Toussaint SARL,Dupuy,2248,29519247.54
Dias,Paris-la-Forêt,2586,26291153.26
Fontaine Rivière S.A.S.,Vasseur-sur-Lacroix,3303,8699091.8
Voisin,Maréchal-les-Bains,4384,34957073.3
Ribeiro,MercierVille,642,32891695.37
Bouvier,PottierVille,4412,40671669.89
Hernandez Maillot S.A.R.L.,Chartier,4985,12624704.58
Lecomte,ValentinBourg,3821,42258555.91
Perrin,Coste-la-Forêt,647,17293174.99
Blanc,Munoz,3062,19035142.35
Chevalier,Duhamel,1904,26033539.84
Faivre,Bègue-sur-Vasseur,216,42934265.62
Laurent Royer S.A.S.,Grenier-sur-Marques,2517,34459342.7
Briand,Langlois,417,25936215.0
Lecomte Poulain S.A.,Gros,349,14465595.97
Marie,Sainte Astrid-sur-Mer,4186,35576453.56
Denis,Dufour,4171,22200681.38
Barthelemy et Fils,Meyer,250,8718660.66
Rivière S.A.S.,Marques-sur-Wagner,3198,17753985.26
Jean SA,Sainte Alix,343,21331850.7
Nicolas,Boyer-la-Forêt,1490,37549858.77
Delaunay,Sainte Maryse,4059,23631166.02
Blot,ImbertVille,1179,37302825.26
Schneider S.A.R.L.,Sainte Susanne,779,41838087.18
Clément Lejeune SA,LopezBourg,3647,11853275.19
Pascal,Dias,3580,19715315.19
Peltier Teixeira et Fils,Lombardboeuf,1727,28472701.61
Poulain S.A.R.L.,Delorme-sur-Ledoux,3311,8469813.27
Lopes SARL,Sainte Stéphanie-la-Forêt,4278,11644407.63
Allard,Gilles,2869,14626835.21
Masson Hebert S.A.,Loiseaudan,4787,31670151.44
Nicolas,Morvan-les-Bains,1891,49328717.08
Pruvost S.A.R.L.,Saint Agathe,3247,21160042.8
Lemoine S.A.S.,Lesage-sur-Rolland,4624,8964488.9
Leblanc Normand S.A.,Prévost,152,34023878.32
Hubert,Thibault,2345,22912285.59
François,Blondel,3650,17383733.64
Robert et Fils,Lecoq,2930,35818016.69
Dupont,Verdier-sur-Mer,4766,17901764.05
Prévost,Rogernec,2670,40747273.93
Colin,Sainte Lucas,2750,45358713.5
Charles SA,Maillotdan,2863,31077741.77
Maurice,Saint Monique-la-Forêt,648,15775199.99
Caron,Lefèvre,620,19710877.09
Colin Denis SARL,Deschamps,751,15968770.16
Rolland Carre et Fils,Muller,1744,14136455.11
Leclerc Imbert S.A.R.L.,Colas,2543,4211324.79
Letellier et Fils,Gomes,4622,2790115.92
Guillaume Gautier SARL,Giraud,941,10320757.67
Delahaye Loiseau S.A.,Fournier-sur-Mer,2698,3086313.88
Perrot Verdier SARL,Saint Henriette-les-Bains,3896,44382561.26
Baudry,Clémentnec,4300,32433436.08
Maillet,Perrier,824,8035598.45
Brunet Sanchez SARL,Descamps-sur-Lesage,3380,3699335.32
Perrot,Benoit,3021,42648544.21
Masse,Carpentier,498,45195647.67
Georges Navarro S.A.R.L.,Collin-sur-Riou,3578,27167392.48
Albert,Bègue,1434,4509462.13
Paris,Saint Charlotteboeuf,1439,15972777.03
Julien Guillot S.A.R.L.,Barre,3425,49502565.0
Lombard,Buissondan,4451,45139855.06
Lopez,Barre,4060,1306370.87
Marin,Bailly-la-Forêt,342,16660531.14
Traore,Boucher,1214,34151440.32
Pinto,Jacob,4320,40284734.85
Nicolas Toussaint S.A.R.L.,Jacquet,1692,34409403.07
Antoine S.A.,Ferreira,4909,42553012.43
Petit SARL,Saint Émilie,2681,2207537.49
Pascal S.A.R.L.,Barthelemy,1908,2919089.3
Mathieu Dumont et Fils,Aubryboeuf,2035,37188436.31
Besson,Antoine,2314,18176017.44
Mary,Sainte Danielle,3647,6612515.05
Renault Barbier SA,Rossi,2321,25286535.01
Bègue et Fils,Saint Benjamin,650,18346945.39
Fouquet,Bertin,2034,25324424.88
Delahaye,Raynaud-la-Forêt,2237,23713021.82
Jourdan Valette S.A.,Lamydan,2731,35562449.27
Perrier,CamusBourg,2858,32482537.63
Evrard,Saint Pénélope-les-Bains,453,45509233.52
Grégoire S.A.S.,Olivier-sur-Bouchet,4432,37413979.07
Benard,Launaydan,3336,42813826.32
Cohen,Galletdan,2860,15132741.8
Coulon,Morin,4105,15102092.21
Simon Tessier S.A.R.L.,Fontaine,150,11560913.65
Rousset Moreno S.A.S.,LeconteBourg,1082,4867380.29
Boulay,Adam-sur-Mer,4286,22512079.44
Delattre,Saint Susanneboeuf,3189,48036247.14
Gomez,Bonnin-sur-Mer,4551,19697141.0
Brunet,Sainte ChristopheVille,460,49978086.73
Fabre,Mahe-les-Bains,1426,19758420.85
Delahaye SA,Robert-sur-Mer,2065,5734266.63
Diallo,MenardBourg,3620,9380313.48
Petit,Colletboeuf,4902,31571722.87
Gay,Saint OlivieVille,727,34054420.8
Rodrigues,Saint Antoinettenec,3127,45963228.62
Tessier Prévost S.A.,Chevalierdan,3960,17864970.68
Letellier S.A.S.,Saint Bertrand-les-Bains,3196,12933057.38
Joseph,Maury-sur-Mer,3023,4170908.61
Alexandre,Saint ThierryVille,1881,8209819.77
Morin S.A.R.L.,Masson,1558,26447862.97
Thierry,Noël,559,3554409.02
Blondel,Perrin,1994,38716235.95
Fleury,Barrenec,3242,19000672.3
Lefèvre et Fils,Dupré-sur-Lombard,2485,27697134.21
Pruvost,Normanddan,1858,10102363.55
Lacombe Le Gall S.A.,RousselBourg,2151,12676649.57
Blanchard S.A.S.,Chauvetboeuf,3274,16389860.52
David et Fils,Gay-sur-Laine,4472,45865807.26
Grégoire S.A.R.L.,Bruneau,2486,42855113.32
Boyer Ramos SA,Dumas,4593,17887021.62
Menard,Blondel,3963,39638245.8
Riou,Lopez,142,9369115.41
Gauthier SARL,Descamps-sur-Mer,3825,19736531.08
Carlier,Schneider,4375,2905797.59
Joubert Legros S.A.S.,Mary,202,27357601.57
Laporte,Vidalboeuf,378,1427903.85
Fernandes Boulanger et Fils,Bertin,3669,49628731.55
Riou,Colin,274,14412091.96
Evrard,PetitjeanBourg,2504,18318994.21
Lesage,Sainte Laurent,798,8777361.91
Klein,Baronnec,511,10439530.62
Bouchet,Lagarde-sur-Colas,2645,10649565.41
Fernandes SA,Guillet,1738,23457627.6
Coulon,De Sousa,382,33255351.43
Prévost Carlier et Fils,ImbertVille,656,43484236.74
Diaz François et Fils,Jacques-sur-Martineau,1384,24108492.58
Duval,Gauthier-sur-Gomes,4342,15093382.4
Maillard Reynaud SA,BoulayBourg,2363,39386988.18
Adam Diallo SARL,Chartier-sur-Leblanc,1142,35482087.16
Pasquier SA,Guérin,4881,4621470.3
Laurent,Lecoqboeuf,271,34644595.83
Mendès,Boyerdan,1398,46583316.36
Langlois Chartier SA,Michel,1843,1972797.81
Hernandez,De Oliveira-la-Forêt,2087,28320541.49
Lacroix,Gauthier-sur-Pierre,3073,15122536.26
Raynaud Bruneau et Fils,Coste-sur-Clément,369,32808622.77
Seguin,Gillet,613,7382491.78
Legros Étienne S.A.R.L.,Roger,257,49313837.36
Jacob Lopez SARL,Olliviernec,2368,18099625.51
Robin,Marques-les-Bains,2004,49927551.72
Gomez S.A.S.,Potier,1482,4718373.03
Da Silva S.A.,Saint Alexandre,753,24555251.07
Olivier,Maurice-la-Forêt,220,39792279.67
Dupré,Marion,1251,26616779.26
Baudry,Augernec,265,9423971.27
Lebrun S.A.S.,Sainte Auguste,4862,18961924.65
Brunel Vincent SA,Mercier,4072,36160001.82
Bernard,Carrenec,399,18830095.9
Vallée Renault et Fils,GuichardBourg,2403,10238639.97
Bonneau Prévost SA,Guérin-sur-Fouquet,4305,22262820.79
Moulin,Renaud-sur-Dumont,228,19034513.06
Hamel,Rousselnec,1673,33784743.3
Rodrigues SA,Hoarau-sur-Mer,4598,40262326.56
Jacquet S.A.,Jacquet,3883,8578262.73
Dupré SARL,Morin-sur-Pierre,3174,19563802.68
Couturier,Courtois-les-Bains,3154,12679352.37
Guillon S.A.,Leduc-sur-Renault,798,17503732.26
Daniel Paris S.A.S.,Valette,2854,1156264.07
Leclerc Marion et Fils,Pinto,728,11813513.14
Martinez,Pineau-sur-Mer,544,8409670.2
Simon,Devaux,3609,38071774.23
Bègue S.A.S.,Fernandez-sur-Allain,1212,44602904.77
Lebon Georges S.A.,Dupontnec,3659,2822318.2
Sauvage et Fils,Imbert,2834,1631606.14
Baron Diallo SA,Mathieu-sur-Benard,4371,48284339.44
Poirier,ClercVille,1678,9314128.9
Traore,ThierryVille,4197,29200317.37
Coulon Dos Santos S.A.R.L.,Morvan-sur-Barbe,1004,7398851.92
Fouquet,Saint Guy-la-Forêt,3945,19343062.69
Merle Lemaître SA,Saint Océane-sur-Mer,2404,5830922.72
Fleury,Bourgeoisboeuf,829,23159653.03
Hamel Guillou S.A.S.,Pires-sur-Lemonnier,2040,10646626.57
Lebrun Pons SARL,Raymond,1091,11688484.95
Vaillant,Royer,3436,25826615.75
Hoareau S.A.R.L.,Bourgeois-sur-Regnier,4156,26825015.21
Fleury SARL,Humbert,541,43228674.75
Lefebvre et Fils,GuichardBourg,3588,12171337.06
Guyon Ribeiro S.A.S.,Guibertdan,1194,20712790.15
Loiseau,Bodin,3077,47132593.07
Muller,LacombeVille,487,44865567.27
Delattre,Clerc,374,47028782.27
Grenier SARL,Maurice,657,12030608.24
Grenier Hoarau SA,Clémentdan,646,39366837.87
Dubois,Mahe,1317,9732112.38
Maurice S.A.,Morel-la-Forêt,4015,24637374.55
Charles,CharrierBourg,2943,21117386.3
Mathieu S.A.,Delattre,1544,19541018.07
Guillon,Mace,3542,24155199.4
Maillet S.A.S.,Didier-sur-Mer,4389,46788033.31
Girard S.A.,Saint Thierry,2873,16289328.19
Hardy Schneider S.A.R.L.,Dijoux,1165,3081661.59
Allard Guibert S.A.,Sanchez,1858,11419279.38
Guillou Maillot SA,Benoit,4805,28321283.14
De Sousa,Leclercq-sur-Henry,3794,21411823.85
Noël,Brunetdan,2009,21359440.21
Huet,Jacquetboeuf,3102,14629351.13
Aubert,Sainte Adrienne,1819,15043253.97
Thierry,Aubert,1070,17923029.7
Sanchez,Lebon-sur-Mer,4655,43358083.8
Fischer Ferreira SARL,ParentBourg,1100,49320874.54
Perrot SARL,Perrin-la-Forêt,3816,28592971.24
Carpentier SARL,Turpin,1467,43893569.11
Étienne SA,Weber,3994,34558327.47
Guyon Lejeune S.A.,Robert-les-Bains,1080,24503748.81
Guillon,Poirier-sur-Pires,3494,19922825.37
Riou,Perret,1629,21076456.06
Rodriguez,Berger,4670,29431439.48
Colas Pottier S.A.R.L.,Saint Auréliedan,3668,34982043.74
Baudry SA,Marinnec,1504,44744747.08
Barbe,Robin,4697,46838335.62
Maillet Martin S.A.S.,Saint Nicole,3037,38933957.82
