Vehicle_ID,Vehicle_Model,Fuel_Type,Price,Stock_Level,Warehouse_Location
2261,Foucher Mercier et Fils Convertible,Gasoline,102838.75,59.0,Saint Claire
2262,Dias Truck,Gasoline,80467.12,22.0,Pasquier
2263,Boulay SARL Truck,Diesel,21205.71,86.0,Boulay
2264,Jourdan S.A.R.L. SUV,Gasoline,68388.68,51.0,Lecontenec
2265,Marty Hatchback,Hybrid,118466.36,24.0,Maillard
2266,Morin Convertible,Electric,69931.67,73.0,Le Goff
2267,Gilles et Fils Truck,Diesel,114082.7,76.0,Cousinnec
2268,Maréchal Hatchback,Electric,107405.56,37.0,Sainte Aimé-sur-Mer
2269,De Sousa Muller S.A.S. Convertible,Electric,115853.28,25.0,Leroux
2270,Loiseau et Fils SUV,Diesel,45922.25,10.0,Normand
2271,Peron S.A.S. Truck,Hybrid,82321.89,71.0,Guilbertboeuf
2272,Vallée Godard S.A. SUV,Electric,38053.24,82.0,Vallet
2273,Samson S.A. Truck,Diesel,35010.14,41.0,Gillet
2274,Guérin S.A.R.L. Truck,Hybrid,101177.52,39.0,Brun
2275,Huet SUV,Hybrid,104726.83,61.0,Letellier-sur-Didier
2276,Dumont Ramos SA Convertible,Hybrid,86373.95,6.0,Costa
2277,Weiss Ribeiro SA SUV,Diesel,32875.66,,Guillaume
2278,Richard Blanc S.A. Convertible,Diesel,103934.01,8.0,Saint Daniel
2279,Gonzalez Sedan,Gasoline,92272.54,58.0,Rossiboeuf
2280,Roche Truck,Electric,107288.56,84.0,Grondin-sur-Lebreton
2281,Vasseur Truck,Gasoline,74251.87,74.0,François
2282,Didier Foucher SARL Sedan,Electric,78306.78,57.0,Sainte Roger
2283,Lefort S.A. Truck,Gasoline,108553.35,21.0,Maryboeuf
2284,Ramos S.A. Hatchback,Hybrid,66423.76,51.0,Sainte Clémence-les-Bains
2285,Lebon SUV,Hybrid,63787.45,42.0,Delattre-sur-Mer
2286,Martinez Bernard SA Truck,Electric,90477.1,32.0,Letellier
2287,Bonnin Jacquot SA Hatchback,Hybrid,56585.65,94.0,Lagardenec
2288,Roux Sedan,Electric,70401.66,20.0,Regnier
2289,Mathieu SUV,Gasoline,90015.99,61.0,Sainte Élise
2290,Vincent SUV,Gasoline,57910.72,1.0,Hardy-sur-Mer
2291,Olivier Truck,Gasoline,108463.18,31.0,Evrard
2292,Pottier SA Truck,Hybrid,101453.8,74.0,Albert-sur-Devaux
2293,Leclerc Hatchback,Electric,53542.23,9.0,Berthelot
2294,Charrier Sedan,Electric,116505.05,57.0,Chevallier-sur-Mer
2295,Julien SUV,Diesel,63864.55,71.0,Grondin
2296,Meunier Hatchback,Electric,16175.99,68.0,Delahaye
2297,Brunel Hatchback,Gasoline,36081.87,61.0,Raynaud-sur-De Sousa
2298,Mary S.A.S. Truck,Gasoline,57386.17,35.0,Roche-sur-Boulanger
2299,Bègue Sedan,Gasoline,110730.77,81.0,Rousseau-les-Bains
2300,Gilbert Hatchback,Gasoline,50509.23,31.0,Brun-la-Forêt
2301,Le Goff Sedan,Diesel,96921.2,99.0,Fournier-les-Bains
2302,Brun SUV,Electric,16893.77,62.0,Loiseau
2303,Lefort et Fils SUV,Diesel,93944.15,69.0,Langlois
2304,Allain De Sousa S.A. SUV,Gasoline,37853.62,8.0,Humbert
2305,Delahaye Bigot S.A.R.L. Convertible,Diesel,111700.81,86.0,Wagner
2306,Sanchez SUV,Hybrid,73388.14,67.0,Valette
2307,Denis Truck,Hybrid,68405.92,43.0,Guyon
2308,Chevalier SUV,Diesel,104148.41,84.0,Schmitt
2309,Allain Sedan,Electric,96587.74,2.0,Merle-sur-Le Goff
2310,Payet Lemoine SA Convertible,Gasoline,15477.72,71.0,Sanchez
2311,Mercier Sedan,Electric,91488.9,94.0,Mariedan
2312,Chrétien Pages SARL Convertible,Diesel,118180.85,9.0,Torresboeuf
2313,Lelièvre Sedan,Gasoline,22777.41,4.0,Sainte Isaac-sur-Mer
2314,Besson Marie SARL Truck,Hybrid,85896.02,90.0,Colas-sur-Mer
2315,Alves Sedan,Gasoline,86440.51,79.0,Bertinnec
2316,Toussaint Georges et Fils Hatchback,Gasoline,98529.53,25.0,Perret-sur-Dupont
2317,Gomez S.A. Convertible,Hybrid,51989.21,8.0,Vincent
2318,Leblanc et Fils Sedan,Hybrid,53780.32,79.0,Carlier
2319,Laine Truck,Diesel,47555.78,30.0,Peron
2320,Rossi Truck,Electric,104959.58,74.0,Alexandre
2321,Joubert Convertible,Hybrid,33879.51,52.0,Bourdon-sur-Mer
2322,Guillet Munoz S.A. Sedan,Diesel,52781.38,66.0,Sainte Alice
2323,Girard Aubert S.A.R.L. SUV,Hybrid,47186.15,35.0,Antoine
2324,Klein Martel S.A.S. Sedan,Electric,103946.9,7.0,Bruneau-les-Bains
2325,Laroche Hatchback,Electric,99070.16,89.0,Aubrydan
2326,Caron Pons S.A.R.L. Truck,Electric,32991.36,5.0,Valentin
2327,Jacquot Merle S.A. Convertible,Hybrid,105836.26,39.0,Collin-sur-Lévêque
2328,Rossi Convertible,Gasoline,99052.81,100.0,Le Goff
2329,Poulain Blanchard S.A.R.L. SUV,Diesel,116225.19,87.0,Teixeiradan
2330,Hamon Truck,Diesel,39862.24,57.0,Gay
2331,Neveu Lagarde SA Sedan,Gasoline,52332.95,63.0,Saint Claudine-les-Bains
2332,Louis SUV,Diesel,38766.41,40.0,Jacob
2333,Pages S.A. SUV,Hybrid,31765.11,50.0,Couturier-la-Forêt
2334,Allard Chrétien S.A.S. Truck,Hybrid,72932.58,93.0,Dias-sur-Gonzalez
2335,Costa Sedan,Diesel,34569.25,80.0,Lévêque
2336,Navarro Hatchback,Gasoline,16710.93,17.0,Carpentier
2337,Le Gall SA Convertible,Gasoline,104304.13,52.0,Mendèsnec
2338,Lagarde SUV,Hybrid,55332.79,58.0,Grenier-la-Forêt
2339,Poirier Chartier SA SUV,Hybrid,58134.53,72.0,PhilippeVille
2340,Barre Convertible,Hybrid,73916.5,8.0,Thibaultnec
2341,Blanchard Raynaud SA Truck,Hybrid,59414.66,44.0,Moreno-les-Bains
2342,Jacquet SUV,Hybrid,118776.85,49.0,Pascal-la-Forêt
2343,Cordier et Fils Convertible,Gasoline,31560.5,50.0,Louisboeuf
2344,Le Goff Truck,Diesel,66929.23,49.0,Saint Gabriel
2345,Guérin Convertible,Gasoline,77491.34,78.0,Adam
2346,Dupuy SARL SUV,Electric,110966.38,67.0,Devauxboeuf
2347,Perrin Jacquot SA Truck,Gasoline,66644.66,11.0,Lecomte-les-Bains
2348,Fabre Thierry S.A.S. Truck,Gasoline,39849.08,53.0,Da Silva
2349,Nicolas Truck,Diesel,108885.66,99.0,Sainte Suzanne
2350,Jean SUV,Electric,54631.0,59.0,Delahaye
2351,Peron S.A.S. Hatchback,Diesel,59617.96,96.0,Dupuydan
2352,Pasquier Convertible,Hybrid,57300.01,87.0,Sainte Margaux-sur-Mer
2353,Bègue Convertible,Diesel,79184.11,6.0,Sainte Michel
2354,Antoine Chartier S.A. Convertible,Diesel,92517.89,55.0,Albert
2355,Coulon et Fils Sedan,Diesel,68341.69,70.0,LegrosVille
2356,Goncalves Besson SARL Hatchback,Gasoline,103036.34,11.0,De Sousanec
2357,Courtois Convertible,Diesel,63030.38,43.0,Toussaint
2358,Roussel SA Hatchback,Diesel,17318.04,90.0,Sainte William
2359,Lamy Convertible,Diesel,79307.9,16.0,Saint Marianne
2360,Legendre Rolland SARL SUV,Hybrid,20814.55,12.0,Lebrun
2361,Bonneau Truck,Hybrid,42106.22,86.0,Michelnec
2362,Bousquet Guillot SA Hatchback,Diesel,72003.27,75.0,Le Gallboeuf
2363,Masson Collin SA Sedan,Electric,95755.08,53.0,Saint Lucy
2364,Gros Jourdan SA Convertible,Hybrid,74165.04,5.0,Noël
2365,Deschamps Hoareau S.A.S. Convertible,Electric,116836.53,78.0,Dupré
2366,Laine Allain S.A. Truck,Diesel,64071.16,37.0,Cohen
2367,Rivière Hatchback,Gasoline,63996.68,100.0,Duhamel
2368,Weiss S.A.S. Convertible,Hybrid,78182.58,57.0,Saint Augustenec
2369,Jacques S.A.R.L. Truck,Hybrid,21619.86,35.0,Leroux
2370,Picard Convertible,Electric,81278.58,46.0,Meyernec
2371,Deschamps Sedan,Diesel,112988.7,75.0,Teixeira
2372,Lebrun SUV,Hybrid,33113.44,14.0,Ruiz-sur-Gaillard
2373,Dijoux Truck,Electric,90200.22,15.0,PottierBourg
