Campaign_Name,Target_Location,Campaign_Type,Budget,Success_Rate
Weber,Prévost,Billboards,160785,0.6406545111331147
Letellier,Sainte MichelleBourg,Social Media,169615,0.2582630257856068
Gilbert S.A.S.,Sainte Josette-la-Forêt,Social Media,75731,0.435943564501341
Riou,Charriernec,Billboards,195328,0.5488793393584176
Blanchet S.A.R.L.,Sainte Susan,Radio,50752,0.36654276676132413
Rocher,Saint Anouknec,Billboards,315090,0.8020741022863319
Gallet,Saint Thierryboeuf,TV,134297,0.22781709575979817
Payet,Sainte Marcelle,Radio,352836,0.47613918758282325
Loiseau Robin SARL,Besnarddan,Billboards,456221,0.2657863890643072
Perret,Brunet-sur-Thomas,Social Media,198921,0.8914620545638116
Cohen,Lebon,Radio,116634,0.22465455792629482
Delorme,Gosselin-les-Bains,Social Media,305934,0.6264873004228967
Millet Raynaud et Fils,Pintodan,TV,38540,0.6322839801679323
Lemonnier,Besnard,Social Media,31284,0.3524976870902531
Goncalves,Durand,Billboards,340004,0.7616615716959868
Hoarau,Briand-sur-Sanchez,Social Media,211662,0.49261890946842335
Millet,Sainte Victor-la-Forêt,TV,291118,0.6713247342559162
Charrier,Langlois-sur-Robert,Radio,181558,0.39251713406097755
Munoz et Fils,Chauvet,TV,40564,0.5026590083917407
Thomas Descamps SARL,Valletboeuf,Radio,106868,0.42073333577155425
Bonnet,Sainte Margueritenec,Radio,172378,0.13763351150206368
Baudry,Olivier,Billboards,173779,0.5614795764978163
Carre,Leroy,Radio,113476,0.4395498468011212
Merle,Rolland,Social Media,195499,0.8713492287313213
Ledoux SA,Saint Michèle,Radio,467584,0.25356607222212457
Labbé,Aubrynec,Social Media,38958,0.28910263651876567
Leconte S.A.,Lenoir-sur-Ledoux,Radio,411639,0.7010884344281275
Evrard et Fils,Sauvage,Social Media,429267,0.13529350890037828
Joly SA,Maillotdan,TV,484428,0.35157519473337995
Devaux,Sainte ThierryBourg,Social Media,161253,0.27474757438859354
Faivre SA,Carre,Social Media,400707,0.7922772584398242
Bernard Mathieu S.A.R.L.,Fernandezboeuf,Radio,40230,0.7056475777514761
Girard,Lévy,Radio,375159,0.49143086546981296
Benard,Imbert-sur-Lebon,TV,75802,0.6033341701353979
Vallet Duval S.A.R.L.,Giraud,Social Media,43356,0.5307470245778423
Weiss,Guillot,Radio,147449,0.25931993096962147
Merle,Sainte Marcel,Social Media,330904,0.12825967051398585
Rémy,Sainte Aiménec,Billboards,274057,0.7015408030384757
Delahaye Pruvost S.A.R.L.,Rossi,Billboards,65984,0.7564839054430871
Bègue Bonnin S.A.R.L.,Girard-la-Forêt,Radio,38004,0.5220184672785372
Blanchard Samson et Fils,Delahaye,Radio,43589,0.1020172992758627
Lejeune S.A.S.,Saint Gilles,TV,135182,0.3477438030254604
Nicolas Ollivier SA,Guyot-la-Forêt,TV,253587,0.28408122789768897
Renault et Fils,Saint Pauline,Billboards,226541,0.8099741484455053
Louis Giraud et Fils,Maréchal,Radio,466949,0.7535243310961531
Barthelemy S.A.,VidalVille,Billboards,310018,0.8884910866067689
Martins,Sainte ChristopheVille,Social Media,146021,0.8842958323825197
Perret et Fils,Saint William,Social Media,79194,0.3698574931143994
Lecomte,Labbé,Radio,389784,0.6864707085373231
Pelletier Roger S.A.R.L.,Noël,Radio,257114,0.584420591046215
Fouquet,Saint Émilenec,Radio,271577,0.7619259123074568
Guichard,Bonneau,Social Media,499088,0.7610861519000751
Masse,Saint Christophe-sur-Mer,Billboards,306199,0.5647716151553528
Bouvier Hebert SARL,Antoine,Radio,269045,0.36658166107083745
Huet S.A.R.L.,Saint Aimée,TV,22978,0.14370987658966597
Guillon,FoucherBourg,Radio,355560,0.8238911122575282
Lopes,Auger-sur-Le Roux,Radio,63410,0.6177306290077622
Hernandez Durand SARL,Hervéboeuf,Social Media,389997,0.30582136566692864
Vallet Payet S.A.S.,Marchanddan,TV,14855,0.17931785084874807
Samson,Bertin,Billboards,244826,0.2935744429600423
Delannoy,MartelBourg,Social Media,398679,0.32699192590581194
Colas,Sainte Arthur,Social Media,156283,0.45666090954038896
Bonnet,Imbertnec,Billboards,126345,0.47127357856742624
Lévy,Saint BertrandVille,Social Media,483328,0.19801448911646827
Boulanger,Legrand-sur-Mer,TV,360654,0.8756526945780638
Hervé,Perez,Billboards,109473,0.3522602654611834
Leblanc et Fils,Paris-sur-Faivre,Billboards,350729,0.12236517807972813
Dos Santos,Fischer,Social Media,303154,0.8759773352168487
Charles,Letellier,TV,213778,0.20985075802153075
Blanchard,Bouvet,TV,11313,0.2710561813397919
Maréchal,Pruvost,TV,34178,0.6807235053188812
Vasseur S.A.,Charrier,Social Media,347859,0.23474947971079338
Bertrand Fontaine et Fils,Légernec,Radio,31594,0.7002250155891389
Blanchet,Le Gall,TV,401261,0.8449619638850195
Leclercq S.A.R.L.,Saint Cécile,Social Media,494981,0.8081954388895114
Jacquot Muller SARL,Samson-sur-Hernandez,Billboards,166329,0.8652344533294298
Vaillant,Coste,Social Media,21692,0.14841497781057883
Perrot,Legendre,TV,352761,0.8113783095309919
Hamel,Colletnec,TV,110419,0.7547107563353475
Bernier,Lebon,TV,96933,0.8304403465153972
Joubert,Bourgeois,Billboards,270443,0.3472770172446602
Nicolas Mary SA,Caron,Billboards,370706,0.6756464039453622
Huet et Fils,Sainte Georges-la-Forêt,TV,473243,0.7741974730892136
Rivière Mendès S.A.R.L.,Fontaine-la-Forêt,Social Media,424040,0.5083266577919091
Guillon,Labbé-sur-Dufour,Billboards,491659,0.4829403286112579
Ramos,Bouchet,Radio,374556,0.20166279562558237
Pereira SARL,Rémy,Social Media,456353,0.3154212037511426
Hervé,Dumas-sur-Picard,Radio,184244,0.6811691594895118
Blanchet Gomez SA,Blondeldan,Billboards,411823,0.4213483183073965
Nicolas,CaronVille,Billboards,366894,0.6263982619320891
Carpentier Blot SA,Larochenec,Radio,20680,0.181319914799433
Gonzalez S.A.S.,Sainte Renée,Social Media,312022,0.6125296632792041
Gérard Pages et Fils,Pintonec,Radio,55611,0.24330443411507421
Voisin,Delattre,TV,44886,0.7065170060456855
Bodin,Collin,Radio,83024,0.43006675959082075
Marchal,Allard-sur-Dupuis,Radio,159248,0.12819560741865033
Chrétien,Lemaître,Radio,318425,0.4068719800564887
Bruneau,Saint Patrick-la-Forêt,Radio,75740,0.607981849644512
Carre,Pichon-sur-Robin,TV,200740,0.13470789277400297
Gaudin Charles S.A.R.L.,Merle,Billboards,189162,0.4000898461661362
Berger et Fils,Bailly,Radio,315647,0.14883730981352727
Grégoire,Saint Célinedan,Billboards,294266,0.2230828894476532
Rémy Raynaud SARL,Pons,Billboards,37372,0.44416941504190877
Toussaint,Ramos-sur-Mer,TV,234284,0.14442403259095365
Bouchet Martel S.A.S.,Saint William,Social Media,484927,0.40552860343227615
Benoit et Fils,Sainte Xavier,Radio,98826,0.19486168924064265
Marin,CosteBourg,Billboards,211063,0.373823337991505
Hamon,Marty,Social Media,438723,0.127172262702058
Barbier S.A.,Sainte Rolandboeuf,Billboards,469408,0.6769873821733332
Hardy,Marion,Radio,360835,0.46826808063299097
Pasquier SARL,Leroux,Billboards,166518,0.7528085116267189
Legros,Costa-sur-David,Radio,57229,0.6986909575869148
Pineau Gomes SA,Lejeune,Radio,467420,0.30076768257656
Gautier,Chauvet-sur-Roger,Social Media,396779,0.29023496003563987
Lenoir Benard SARL,Sainte Anaïs-sur-Mer,TV,486909,0.139178715859408
Maury,Sainte Adélaïde,Radio,85339,0.20331808610313795
Renaud,Robertdan,Social Media,437540,0.1694410142577505
Ollivier,Saint Alfrednec,Social Media,499830,0.1253385324953089
Courtois,Poirier,Social Media,470000,0.4972857095527028
Renault Hebert SA,Lambert-la-Forêt,Billboards,442604,0.11763220340400303
Berthelot,Sainte Christophe-sur-Mer,TV,297911,0.1374787667808815
Navarro,Garcianec,Radio,54049,0.8652678119790316
Vaillant S.A.R.L.,Garnier,Social Media,459867,0.5521287766286699
Rossi Benard S.A.R.L.,Leroy,TV,44558,0.6368400081070741
Gilles,Sainte Charlotte,TV,409461,0.632147975144574
Joseph,Weiss-sur-Evrard,TV,496784,0.8631067448634957
Evrard S.A.S.,Saint Yves,Radio,436391,0.699227032944651
Lamy,Lambert,Billboards,85292,0.2382794583664584
Auger et Fils,ChevallierVille,TV,249561,0.5592350592542972
Richard et Fils,Legrosdan,TV,253318,0.41902187262781376
Dupuis Pascal et Fils,Mallet,Radio,417075,0.8522923813454562
Robert Raynaud SARL,Lejeunedan,Social Media,76622,0.2176690015419257
Gallet,Dumont,Social Media,139872,0.6533453583758919
Guyot,Garnier,Billboards,20507,0.2864982211401255
Chauveau S.A.R.L.,Pagesboeuf,Billboards,196847,0.7216045221151008
Bruneau,Pottier-la-Forêt,Billboards,309243,0.26391273656822156
Chartier,Durand,Radio,115855,0.6817175177775039
Menard,Descampsnec,Social Media,307213,0.3847421553449236
Brun François S.A.S.,Lemaire,TV,338477,0.8165912327372792
Brun Renaud SARL,Rolland,Billboards,172608,0.2785856463239601
Dupuy,Le RouxVille,Radio,100579,0.6396903198982806
Da Silva De Oliveira S.A.S.,Sainte Alixdan,TV,357100,0.4507287116269264
Pruvost,Navarro-sur-Da Silva,Billboards,260800,0.7518603043197345
Gomes SARL,Vallée-sur-Gérard,TV,493338,0.8727885641483842
Marchal Jacob S.A.R.L.,Morel-sur-Leleu,TV,456263,0.21049374119102895
Lebon SARL,Charpentier,TV,254212,0.5756544945850334
Léger,Pineauboeuf,Billboards,201245,0.20680389815965017
Buisson Salmon SA,De Oliveira,Radio,406587,0.34855435111294875
Rousset Sanchez SA,Bernier,Social Media,162317,0.8739766575105391
Marchal,Millet,Billboards,264703,0.3552935860810015
Guyot,Caron,Social Media,36923,0.6775904136262847
Nicolas Aubert SARL,Sainte Pauline,Social Media,140209,0.2075437660563588
Royer,Saint Maurice,Social Media,51409,0.7504896056308132
Deschamps SARL,Hoareau-les-Bains,TV,408283,0.5218096620520088
Colin Bernard SA,Nicolas,TV,61252,0.42424994035589225
Girard,Saint Danielle,Billboards,285421,0.35730073594649614
Guillon,Saint Christophe,TV,491010,0.8525397907829467
Schmitt SA,Dupuis,Social Media,181543,0.27116521529625115
Masse,Léger,TV,490072,0.6485108319720553
Pasquier Dumas S.A.,Sainte Hugues,Social Media,246520,0.8291925693945563
Blot Benoit S.A.S.,Sainte Agnès,Radio,254162,0.2302756554109105
Pelletier Regnier S.A.,GrosBourg,Billboards,168721,0.4243475315425862
Lamy,Berger,Billboards,357342,0.7828996655221262
Joseph S.A.R.L.,Martineznec,Radio,180459,0.8264213582920422
Didier Thierry et Fils,Ribeiro,Radio,373748,0.37561331889162464
Delmas,Saint Madeleinenec,Radio,417892,0.8550473742946227
Ramos,Berniernec,TV,189351,0.280642158198274
Baron SA,Toussaint-sur-Regnier,Billboards,83675,0.756729425485251
Raymond S.A.,Pasquier,Radio,221975,0.2944101160492123
Faure Sauvage S.A.R.L.,Hervé-sur-Mer,Social Media,408101,0.36537930700007715
Garcia Lemaître S.A.,Sainte Éléonore,Radio,491138,0.8304490036775649
Guillou S.A.S.,LefebvreBourg,Social Media,368243,0.5120404461063366
Fournier SA,Gaillard,Billboards,103456,0.4147121547208691
Merle,Sainte Clémence,Radio,438493,0.826753592575275
Boulanger,Saint Alain,Radio,361126,0.27292142387533025
Perrot,Grondin,Radio,225899,0.8812832358703138
Payet,PetitVille,Billboards,442173,0.5530787776871415
Duval S.A.S.,Weissnec,Social Media,185485,0.17647960718933736
Barbe S.A.S.,Lemaire,Social Media,210741,0.35366782920404993
Fernandez S.A.,Mallet,TV,346287,0.48580489377983127
Aubert,Adam,Billboards,125007,0.4797466775242646
Hernandez S.A.S.,Maillot-sur-Berger,Radio,126139,0.698323766310297
Girard,Brun,Billboards,205654,0.7692342986471817
De Oliveira,Thibaultboeuf,Social Media,341544,0.7534427239076277
Baron S.A.,Sainte Julien,Social Media,24307,0.369992739954209
Chevallier,Saint Monique-sur-Mer,Billboards,54746,0.5748473314499154
Rocher,Dufour,TV,320055,0.6623537906188901
Moreau S.A.R.L.,Perrier,Billboards,48525,0.24177395301576043
Hardy,Jacquet,TV,471741,0.5581807244252884
Baron Grenier SA,Noël,Billboards,154004,0.5555481053258126
Barbe,Laurent-sur-Wagner,TV,207011,0.3399705916817021
Gomez,Saint Simone,Billboards,43284,0.894990834043513
Gérard,Fischernec,Radio,313756,0.8254431244037544
Teixeira,Joseph,Radio,315664,0.3220775965012024
Colin S.A.R.L.,Sainte Laure-la-Forêt,Radio,306708,0.3975505574880124
Raynaud SA,Hoarau,Billboards,331420,0.5368213840891525
Carre Henry SARL,Berger-sur-Launay,TV,105746,0.42230181982285664
Colas,Saint Anouk-sur-Mer,Radio,247868,0.8073468387145678
Gomez et Fils,Saint Thomas-sur-Mer,Radio,369136,0.342047833566195
Huet,Lacroixdan,Radio,332114,0.1100874571447398
Garcia,Pierreboeuf,TV,375626,0.7854161606414622
Hamel Lemonnier SARL,Gimenez,Billboards,296327,0.5806446115209368
Barbier Bousquet SA,Sainte Dominique-sur-Mer,Radio,364576,0.8195781348870522
Marchal Garcia SARL,Le Goff,Radio,194785,0.4141050611567294
Bourdon,CarlierVille,Social Media,291563,0.39078253163529897
Picard,Saint Renée,Billboards,278209,0.10241369766754432
Lévy S.A.R.L.,Valentin-les-Bains,TV,299576,0.740028190853605
Laine Perret SARL,LombardVille,Social Media,296226,0.8940732263416901
Mendès,Germain,TV,308280,0.5757016526875455
Camus,Munoz,Radio,85149,0.6233490391282442
Lejeune Peltier S.A.,Gaillard,Billboards,431233,0.5415140152105722
Valentin,GuichardBourg,Social Media,349323,0.7507603010710354
Bourdon,Traore,TV,301082,0.2561150469787451
Neveu et Fils,Dupré,Billboards,56405,0.8869227107726271
Dupré,Didier,Social Media,328370,0.14138665275771292
Renault Gauthier SARL,Lopes-sur-Vincent,Radio,456704,0.1315450704402812
Dubois,Mace,TV,311310,0.14145427933356328
Chevalier S.A.S.,ChevalierBourg,Billboards,398589,0.8438277758429984
Gilles SARL,Jean,Social Media,291347,0.3209695456482254
Pichon,Renard-la-Forêt,Billboards,475571,0.4782445833828921
Becker Lebon S.A.S.,Caronnec,TV,47849,0.7585008300278052
Lebrun SA,Moreno,TV,491406,0.6152342942857206
Dupuy,Olivier,Radio,51868,0.5465435407439982
Cohen SA,Sainte Noémi,Billboards,252990,0.3525286714165943
Olivier Maillot S.A.S.,Georges-sur-Collet,TV,118338,0.569295940487555
Didier,Masse-la-Forêt,Billboards,175274,0.6045058345626073
Guillot S.A.S.,Saint Julien,Social Media,176088,0.5898829856118498
Roger,Bouvet,Social Media,89404,0.36686608357198125
Gomez S.A.,Marie,Billboards,296373,0.6404347830290613
Pineau,Baudry,TV,491199,0.18847568661340608
Lenoir,Lopes,Social Media,192568,0.3215602327105591
Alves Philippe S.A.,Sainte Bertrand-la-Forêt,Billboards,78859,0.39015767164516935
Henry,DiazBourg,Radio,135962,0.5789359319484124
Bailly,Sainte Valentine,Radio,255798,0.5348638293927431
Blanchard,Wagner-sur-Leleu,Radio,267363,0.1465294853411444
Maréchal Guillet et Fils,Saint Luce,Radio,357847,0.5937646588794029
Gilbert Rey SARL,Sainte Adrienne-les-Bains,Billboards,367339,0.4358393370900243
Joly Perret S.A.,Mathieu,Billboards,282235,0.815452400351311
Joseph,Meyer-les-Bains,Billboards,251362,0.10184256163565078
Berthelot S.A.,Maillard-sur-Muller,Radio,45651,0.3423495514019862
Giraud et Fils,Renault,Social Media,398538,0.8153696175454498
Delattre,Saint Louis,TV,235724,0.8553143588864538
Blanchet,Fontaine-sur-Pasquier,Social Media,264268,0.5491976347994979
Payet,Sanchez,Billboards,300145,0.7257604310227995
Dupuis et Fils,Normand-la-Forêt,Billboards,86127,0.3245154321908171
Daniel Lefebvre SA,Lebrun-sur-Gomez,Billboards,480475,0.7316459908988856
Ollivier Pereira SARL,JosephVille,Radio,182699,0.7891342856892304
Lévêque,Didier,Billboards,315274,0.8462429742809089
Hamel,Sainte Alexandria-la-Forêt,Social Media,78588,0.5912148837271607
Colas Gauthier SARL,Jacob,TV,145769,0.8547976554137086
Bertrand,Mace-sur-Rolland,Radio,499631,0.7685246474818322
Martineau,Breton,Billboards,491961,0.5897926253418974
Nguyen,Saint ChantalVille,Billboards,106586,0.6864175887067792
Peltier Benoit SA,Lemonnier,Billboards,260874,0.301721521402324
Guyon S.A.R.L.,Saint Nicole-les-Bains,Social Media,142195,0.22794437348087257
Carre,Simon,Social Media,120046,0.14507594375406746
Aubry Godard S.A.,Pruvostnec,Social Media,163197,0.6806426722022383
Dias,Courtois-sur-Coste,Billboards,229015,0.46305122197158954
Leconte S.A.S.,Brunetdan,Social Media,11190,0.7615756886509889
Lecoq Noël S.A.,Hebert,Radio,192136,0.7431918435283894
Hebert,Guyotnec,Radio,49243,0.14736543900591023
Guérin,Blot-sur-Mer,Billboards,321652,0.36957949722850036
Morvan,LévyBourg,TV,286093,0.8880403121204806
Moreau S.A.S.,Delattre,Radio,193045,0.1348249795706581
Rousset,Charles,Social Media,35361,0.3167192888971269
Besnard Guillon S.A.R.L.,Jacob,TV,130620,0.13088202004270189
Pottier,Leclercnec,Billboards,480401,0.7019063613782903
Mathieu Pinto S.A.R.L.,Samson-sur-Mer,Social Media,366133,0.840926212787595
Verdier Andre S.A.R.L.,Renault,TV,177179,0.48491859263011783
Lopes S.A.S.,Parent-sur-Philippe,Billboards,292233,0.8006891192224804
Noël,Saint Louise,TV,131446,0.2217275175409662
Monnier,Olivier-les-Bains,Billboards,39839,0.8211068119056154
Moreau Perrin S.A.S.,GonzalezVille,Radio,432300,0.324855232500889
Merle S.A.,Robert,Billboards,60697,0.8942246926678841
Maillard Delannoy SA,Michelboeuf,Billboards,347060,0.42172284312677477
Morvan,Sainte Laurence,TV,285239,0.609673012545459
Laurent,Rousset-les-Bains,TV,15812,0.258511406793834
Laurent,Bigotnec,Billboards,220377,0.3006682916730064
Bouvet,Denis,Billboards,34825,0.15682270300186288
Sanchez,Hervé,Radio,51121,0.8548529240731281
Da Costa Boyer SARL,Sainte Anaïs-sur-Mer,Billboards,383368,0.804492494309067
Bazin,Guyotnec,Billboards,274352,0.47041744987244105
Coste Lemaître SARL,Maréchal,Billboards,295026,0.886494602689583
Valette Bousquet S.A.R.L.,Costa,Social Media,164075,0.7064656887744095
Fischer Fournier et Fils,François,Social Media,200916,0.668687024166298
Perrier,Bourdon,Radio,269807,0.87389939278477
Rossi,Blanc-sur-Durand,Social Media,482329,0.25818605613878254
Hebert S.A.,Pages-sur-Mer,TV,232097,0.32797915215965584
Lecomte,Moulin,Social Media,194212,0.6273081574260339
Joly Joly SA,Garnier,TV,494065,0.6454420651847791
Dufour,Bonnin-les-Bains,Radio,198612,0.8643941544548246
Roy,Maillard,Radio,328741,0.46097787080554087
Goncalves Letellier S.A.R.L.,Beckernec,Radio,189890,0.6718856623019579
Barbier,Loiseaunec,Billboards,14108,0.2871823191886328
Roussel,Fernandez-sur-Colas,Billboards,328627,0.6781382805815277
Joly SA,Pottier-sur-Martinez,Social Media,139350,0.20669458576370997
Rocher,Lecomtenec,Radio,315535,0.43570230189087666
Mendès S.A.,Marques,TV,368480,0.6325560019890645
Torres,Lamy,Radio,205607,0.5725706186126452
Riou SARL,Sainte Dorothée-sur-Mer,Social Media,391422,0.1937215111510917
Carlier Berger S.A.R.L.,Paul,Radio,400871,0.5253304269622611
Leleu Bruneau S.A.S.,Saint Clémence,Billboards,84621,0.395255119692415
Torres SA,Baron-les-Bains,Radio,23919,0.3422036874014832
Ollivier,Hamon-la-Forêt,TV,316522,0.6762234470292611
Monnier,David-sur-Laurent,Radio,471717,0.4253534354390116
Roux S.A.S.,Roger,TV,30251,0.5742623058614581
Godard,Diaz,TV,18147,0.4594182080088637
Laporte Andre et Fils,Sainte Suzanneboeuf,Radio,336529,0.4029893170659311
Giraud,Sainte LéonVille,Radio,262590,0.6273915260639655
Rousset,Sainte ZacharieBourg,Billboards,343026,0.7412641429279007
Denis,Diaz-sur-Mer,Social Media,326493,0.4067319589681875
Hernandez,Denis-les-Bains,Social Media,177529,0.31740406517896325
Nguyen,Bouchernec,Billboards,357452,0.7833488567484704
Da Costa,Sainte Adrien-la-Forêt,Social Media,137547,0.1946301798539829
Dumont,Dubois-sur-Foucher,Radio,305359,0.6363784862853507
Martin,Valletboeuf,Billboards,222856,0.4689777197687156
Andre,Martinez-les-Bains,Billboards,229105,0.6670470412252981
Adam SA,Saint AlphonseBourg,Radio,356813,0.6249388881064681
Bonnin et Fils,Fernandez,Social Media,367159,0.667201759101174
Hoareau,Saint Claudine,Radio,346769,0.27869744238401994
Pasquier,Saint Aimé,Radio,439555,0.3838861580031453
Meunier S.A.R.L.,Picard-sur-Legros,TV,302894,0.40325800050674454
Lambert SARL,Bouvet,Radio,287060,0.20329711784351653
Pineau Mendès S.A.R.L.,Bazin,TV,96310,0.7090904081170163
Leblanc,Roussel,Social Media,95404,0.8892675768414983
Tanguy,Chauveau-les-Bains,Billboards,121838,0.7579725143379411
Couturier SA,Brunet,Social Media,265437,0.8504025714099179
Diaz et Fils,Faure,Radio,491008,0.37724424659125544
Gérard,Prévost,TV,427384,0.6569325861369992
Humbert,Labbé-sur-Marty,TV,242873,0.5287919692679764
Fouquet,Couturier,TV,91319,0.2249796875779751
Boucher S.A.,Sainte Lucasboeuf,Social Media,29195,0.4211228346562633
Fernandes,Fernandes-sur-Parent,Radio,387404,0.7968487668458998
Schmitt Rolland SARL,Albertnec,Billboards,100117,0.6626561746106796
Maurice,Sainte Franck-la-Forêt,TV,462818,0.2382143355217747
Roche Lesage S.A.R.L.,CarlierVille,TV,371453,0.8986382499680393
Rodrigues,Grenier-la-Forêt,TV,492052,0.3922632841179786
Delaunay SA,BigotBourg,Billboards,360014,0.3504682997400683
Le Roux,Sainte Rémy-la-Forêt,TV,213022,0.5194355051843481
Joubert,Boulay,Radio,251130,0.7220189512428015
Guichard SARL,Bourdon-les-Bains,Radio,428869,0.15638928212669995
Jacques,Lacombe,Radio,447226,0.5334629719525313
Perrot et Fils,Pruvost-les-Bains,Radio,222725,0.5332891444874183
Hubert,Fourniernec,TV,324619,0.8396288615046305
Meunier,Sainte Juliette,Social Media,18372,0.16387722277377642
Diaz S.A.S.,Delahaye-les-Bains,Social Media,484310,0.25035584672676736
Rousset,Hamon,Social Media,145637,0.35339663239785324
Guillou et Fils,Saint Jeannine,Radio,359573,0.5972844969679948
Gautier Étienne S.A.,Parisboeuf,Radio,439499,0.8030722548849337
Daniel,Maury,Social Media,186546,0.4344405267722353
Diallo,Gay,TV,37621,0.4262260594884426
Rey Dumont S.A.R.L.,Saint Aimé,Radio,216642,0.16495999975222436
Rodriguez,Courtois,TV,395453,0.4916651910124348
Lamy S.A.,Sainte Robert,Social Media,334193,0.583874437665672
Mallet,Barthelemy,Social Media,97330,0.8926014267617094
Mary SARL,Sainte Laurent,TV,307340,0.4408680072960077
Vidal S.A.S.,Sainte Nathalie,Radio,308094,0.31905231615494334
Imbert S.A.R.L.,Costadan,Billboards,322304,0.12844808409246547
Thibault S.A.S.,Sainte Michel-la-Forêt,Radio,14216,0.29195471973256226
Rodriguez Chauvet et Fils,Legros,TV,350050,0.7627201578495098
Carpentier S.A.S.,Roussel,TV,377444,0.8203105048560103
Moreno S.A.,Jacquet,Billboards,63514,0.6637853523787823
Rolland,Saint Pauline-la-Forêt,TV,357905,0.8795679542594935
Jacques,Toussaint,Billboards,482537,0.7323526891637946
Neveu,Lecomte-la-Forêt,Radio,131109,0.8495551720269133
Dubois,Langloisnec,TV,198692,0.19659545652060412
Leduc,Saint Christiane,Billboards,173122,0.161298080629689
Hebert Guillou S.A.R.L.,Mercier-sur-Ruiz,Social Media,196458,0.6589062802435197
Deschamps Marty S.A.R.L.,Jacques,Billboards,197275,0.44551942274830036
Voisin Fabre SARL,Blondel-sur-Mer,Social Media,204126,0.7445316463102232
Picard,Gilles-sur-Bruneau,TV,41927,0.48169081822777937
Roussel,Sainte Célinadan,Radio,319280,0.154768265433189
Tanguy,Saint Marc-les-Bains,Billboards,381599,0.3711753939827098
Arnaud Maury S.A.S.,Guibert-la-Forêt,Billboards,499649,0.44537930929656966
Legrand Besnard SA,Saint Honoré,TV,306222,0.7040327209682948
Samson Fontaine et Fils,Sainte Christophe,Social Media,100701,0.25395892946379195
Berthelot,Brunet,TV,122691,0.7571118596054641
Simon SARL,Sainte MarcVille,Social Media,224992,0.5182298208404917
Lesage Dupré S.A.,Valentin,TV,290189,0.6813012461768375
Clerc Launay S.A.S.,Saint Alex-la-Forêt,Billboards,165937,0.21525434806951804
François S.A.S.,Hernandeznec,Radio,13619,0.34653002251316445
Guérin,Collet,Billboards,482699,0.14024543260799716
Legros,Payet,Radio,101382,0.5333060037969526
Evrard,Klein-sur-Leclercq,Social Media,296683,0.5030386432968587
Fischer,Collet,TV,359027,0.8614032319890508
Coste Teixeira S.A.,Ruiz-les-Bains,Billboards,45495,0.25325926213411776
Caron Menard S.A.R.L.,Wagnerboeuf,Billboards,109831,0.7480900687854125
Adam,Sainte Chantalnec,Billboards,46284,0.28791008340873414
Hernandez et Fils,Duhamel-sur-Martineau,Billboards,27411,0.8349871882568072
Pierre Meunier S.A.,Blin,TV,461900,0.40903919817934564
